Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
04,8109804002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,010009
09,800C404002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,01000C
0C,8024084002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,01000D
0D,0020011002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,084,01000E
0E,811C044002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,084,01000F
0F,0080009024,3AD,AAF4,3A1,AAF4,000,FFF4,0000,084,010010
10,0100000000,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010011
11,8114024002,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010014
14,8119014002,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010015
15,0001009401,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010016
16,0200000000,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010017
17,0001009201,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010018
18,8024101040,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010024
24,8026804002,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010025
25,814A404002,3AD,AAF4,3A1,03B5,000,FFF4,0000,084,010026
26,0080009001,3AD,AAF4,3B5,03B5,000,FFF4,0000,084,010027
27,0100000000,3AD,AAF4,3B5,0000,000,FFF4,0000,084,010028
28,813C804002,3AD,AAF4,3B5,0000,000,FFF4,0000,084,01003C
3C,8143204002,3AD,AAF4,3B5,0000,000,FFF4,0000,084,010043
43,8146104002,3AD,AAF4,3B5,0000,000,FFF4,0000,084,010044
44,0010C09001,3AD,AAF4,3B5,0000,000,FFF4,0000,084,010045
45,80C4101040,3AD,AAF4,3B5,0000,000,FFF4,0000,084,0100C4
C4,80DE801040,3AD,AAF4,3B5,0000,000,FFF4,0000,084,0100C5
C5,8001401040,3AD,AAF4,3B5,0000,000,FFF4,0000,084,010001
01,00A0009004,3AD,AAF4,3AD,0000,000,03AD,0000,084,010002
02,0104009420,3AE,AAF4,3AD,F003,000,03AD,0000,084,010003
03,0002009001,3AE,F003,3AD,F003,000,03AD,0000,084,010004
04,8109804002,3AE,F003,3AD,F003,000,03AD,0000,084,010009
09,800C404002,3AE,F003,3AD,F003,000,03AD,0000,084,01000A
0A,800C204002,3AE,F003,3AD,F003,000,03AD,0000,084,01000B
0B,8157104002,3AE,F003,3AD,F003,000,03AD,0000,084,010057
57,8171084002,3AE,F003,3AD,F003,000,03AD,0000,084,010058
58,8166044002,3AE,F003,3AD,F003,000,03AD,0000,084,010059
59,8161024002,3AE,F003,3AD,F003,000,03AD,0000,084,01005A
5A,815F014002,3AE,F003,3AD,F003,000,03AD,0000,084,01005B
5B,80C4041040,3AE,F003,3AD,F003,000,03AD,0000,084,01005C
5C,0020011002,3AE,F003,3AD,F003,000,0003,0000,084,01005D
5D,0004009024,3B1,F003,3AD,F003,000,0003,0000,084,01005E
