Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
44,0010C09001,3AB,AEF5,3A0,03B4,000,FFF5,03B4,000,000045
45,80C4101040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,000,0000C4
C4,80DE801040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,000,0000DE
DE,4000000000,3AB,AEF5,3A0,03B4,000,FFF5,03B4,000,0000DF
DF,8001101040,3AB,AEF5,3A0,03B4,000,FFF5,03B4,000,000001
01,00A0009004,3AB,AEF5,3AB,03B4,000,03AB,03B4,000,000002
02,0104009420,3AC,AEF5,3AB,EEF5,000,03AB,03B4,000,000003
03,0002009001,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,000004
04,8109804002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,000009
09,800C404002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,00000A
0A,800C204002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,00000B
0B,8157104002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,00000C
0C,8024084002,3AC,EEF5,3AB,EEF5,000,03AB,03B4,000,00000D
0D,0020011002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,000,00000E
0E,811C044002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,000,00001C
1C,8120024002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,000,000020
20,8023014002,3AC,EEF5,3AB,EEF5,000,FFF5,03B4,000,000023
23,0001009024,3AC,EEF5,3AB,03A1,000,FFF5,03B4,000,000024
24,8026804002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,000,000025
25,814A404002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,000,00004A
4A,8153204002,3AC,EEF5,3AB,03A1,000,FFF5,03B4,000,000053
53,0080009001,3AC,EEF5,3A1,03A1,000,FFF5,03B4,000,000054
54,0001009010,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,000055
55,0200000000,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,000056
56,80C4101040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,0000C4
C4,80DE801040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,0000DE
DE,4000000000,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,0000DF
DF,8001101040,3AC,EEF5,3A1,03B4,000,FFF5,03B4,000,000001
01,00A0009004,3AC,EEF5,3AC,03B4,000,03AC,03B4,000,000002
02,0104009420,3AD,EEF5,3AC,AAF4,000,03AC,03B4,000,000003
03,0002009001,3AD,AAF4,3AC,AAF4,000,03AC,03B4,000,000004
04,8109804002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,000,000009
09,800C404002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,000,00000C
0C,8024084002,3AD,AAF4,3AC,AAF4,000,03AC,03B4,000,00000D
0D,0020011002,3AD,AAF4,3AC,AAF4,000,FFF4,03B4,000,00000E
0E,811C044002,3AD,AAF4,3AC,AAF4,000,FFF4,03B4,000,00000F
0F,0080009024,3AD,AAF4,3A1,AAF4,000,FFF4,03B4,000,000010
10,0100000000,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000011
11,8114024002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000014
14,8119014002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000015
15,0001009401,3AD,AAF4,3A1,03B5,000,FFF4,03B4,000,000016
16,0200000000,3AD,AAF4,3A1,03B5,000,FFF4,03B4,000,000017
17,0001009201,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000018
18,8024101040,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000024
24,8026804002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000025
25,814A404002,3AD,AAF4,3A1,03B4,000,FFF4,03B4,000,000026
26,0080009001,3AD,AAF4,3B4,03B4,000,FFF4,03B4,000,000027
27,0100000000,3AD,AAF4,3B4,0000,000,FFF4,03B4,000,000028
28,813C804002,3AD,AAF4,3B4,0000,000,FFF4,03B4,000,00003C
3C,8143204002,3AD,AAF4,3B4,0000,000,FFF4,03B4,000,000043
43,8146104002,3AD,AAF4,3B4,0000,000,FFF4,03B4,000,000044
44,0010C09001,3AD,AAF4,3B4,0000,000,FFF4,0000,004,010045
45,80C4101040,3AD,AAF4,3B4,0000,000,FFF4,0000,004,0100C4
C4,80DE801040,3AD,AAF4,3B4,0000,000,FFF4,0000,004,0100DE
DE,4000000000,3AD,AAF4,3B4,0000,000,FFF4,0000,004,0100DF
DF,8001101040,3AD,AAF4,3B4,0000,000,FFF4,0000,004,010001
01,00A0009004,3AD,AAF4,3AD,0000,000,03AD,0000,004,010002
02,0104009420,3AE,AAF4,3AD,F003,000,03AD,0000,004,010003
03,0002009001,3AE,F003,3AD,F003,000,03AD,0000,004,010004
04,8109804002,3AE,F003,3AD,F003,000,03AD,0000,004,010009
09,800C404002,3AE,F003,3AD,F003,000,03AD,0000,004,01000A
0A,800C204002,3AE,F003,3AD,F003,000,03AD,0000,004,01000B
0B,8157104002,3AE,F003,3AD,F003,000,03AD,0000,004,010057
57,8171084002,3AE,F003,3AD,F003,000,03AD,0000,004,010058
58,8166044002,3AE,F003,3AD,F003,000,03AD,0000,004,010059
59,8161024002,3AE,F003,3AD,F003,000,03AD,0000,004,01005A
5A,815F014002,3AE,F003,3AD,F003,000,03AD,0000,004,01005B
5B,80C4041040,3AE,F003,3AD,F003,000,03AD,0000,004,01005C
5C,0020011002,3AE,F003,3AD,F003,000,0003,0000,004,01005D
5D,0004009024,3B1,F003,3AD,F003,000,0003,0000,004,01005E
5E,80C4101040,3B1,F003,3AD,F003,000,0003,0000,004,0100C4
C4,80DE801040,3B1,F003,3AD,F003,000,0003,0000,004,0100DE
DE,4000000000,3B1,F003,3AD,F003,000,0003,0000,004,0100DF
DF,8001101040,3B1,F003,3AD,F003,000,0003,0000,004,010001
01,00A0009004,3B1,F003,3B1,F003,000,03B1,0000,004,010002
02,0104009420,3B2,F003,3B1,83A2,000,03B1,0000,004,010003
03,0002009001,3B2,83A2,3B1,83A2,000,03B1,0000,004,010004
04,8109804002,3B2,83A2,3B1,83A2,000,03B1,0000,004,010009
09,800C404002,3B2,83A2,3B1,83A2,000,03B1,0000,004,01000C
0C,8024084002,3B2,83A2,3B1,83A2,000,03B1,0000,004,010024
24,8026804002,3B2,83A2,3B1,83A2,000,03B1,0000,004,010025
25,814A404002,3B2,83A2,3B1,83A2,000,03B1,0000,004,010026
26,0080009001,3B2,83A2,3A2,83A2,000,03B1,0000,004,010027
27,0100000000,3B2,83A2,3A2,0004,000,03B1,0000,004,010028
